subject_id,session,signal,VLF_power,LF_power,HF_power,LF_HF_ratio
S10,Final,heart_rate,159.80186703326393,27.812350792448644,1.2509094106020793,22.23370498033282
S10,Final,eda,0.38617738229685616,0.28001609291402,0.01665129468185527,16.81647573141267
S10,Final,temperature,0.3632758121047731,0.1920569203859442,0.020873579425338063,9.20095765428759
S10,Midterm 1,heart_rate,88.96529968727174,7.220931640131396,0.06800676639726519,106.17960568732138
S10,Midterm 1,eda,0.010688211116447894,0.008348643973712416,0.00593168837601409,1.4074650326324871
S10,Midterm 1,temperature,0.000953382594567067,0.001924020259066793,0.0014849486988336227,1.2956812990092157
S10,Midterm 2,heart_rate,116.58537958325437,17.499553708828852,1.0126354828239894,17.281197435455187
S10,Midterm 2,eda,0.1922364945886768,0.06093512073374448,0.02529840648410021,2.408654504466184
S10,Midterm 2,temperature,0.35990927754439866,0.16717007544914603,0.03397457310787286,4.920446679885083
S1,Final,heart_rate,113.3406890537873,15.48818900289202,0.7837449167598151,19.761772831553177
S1,Final,eda,0.00045212699922186125,0.0005368953316673464,0.00016982180097240913,3.1615218340228033
S1,Final,temperature,0.6302166955757627,0.2854427854906733,0.054786563081819305,5.210087463679508
S1,Midterm 1,heart_rate,74.85190723821471,4.867251528958523,0.05763443863998255,84.45040229093132
S1,Midterm 1,eda,0.05379821294524803,0.05858236482865349,0.01413412236929238,4.1447472505211085
S1,Midterm 1,temperature,0.0006794667026910508,0.0019733016180603306,0.0016954753045240968,1.1638633796640387
S1,Midterm 2,heart_rate,126.81007758334083,13.57571072876315,0.3764844657528628,36.05915240517442
S1,Midterm 2,eda,0.0004719283774631206,0.0004934804415038696,0.00015495240545579944,3.1847226898625727
S1,Midterm 2,temperature,0.2591079998566235,0.08213246103015351,0.04098041624774417,2.004188062259485
S2,Final,heart_rate,155.667705578249,28.465542790251195,1.5039385646758965,18.927330849040107
S2,Final,eda,0.00044034159749362523,0.0003349127756710167,0.00011724526341356384,2.8565143351647877
S2,Final,temperature,0.1344961763996923,0.02689311390825927,0.006815801190851681,3.945701048961904
S2,Midterm 1,heart_rate,110.15016592005986,8.029096681611799,0.1509615465104576,53.18637008700489
S2,Midterm 1,eda,0.033784023557023285,0.018027301993354568,0.004961949968503699,3.633108376300455
S2,Midterm 1,temperature,0.0006019697022254665,0.0016501258831271726,0.0014087961124713074,1.1713021270569275
S2,Midterm 2,heart_rate,113.02042875887253,14.305903432075262,0.8035085743898674,17.8042946746875
S2,Midterm 2,eda,0.023865206140154985,0.018546669203005618,0.014940006513780427,1.2414097133022306
S2,Midterm 2,temperature,0.5780628552547805,0.23094286555491575,0.0316055549026996,7.307034040879621
S3,Final,heart_rate,112.52544521617182,17.058999965342984,1.1679339103056916,14.606134657806118
S3,Final,eda,0.018533247023100153,0.019307680849534055,0.008938151998491425,2.1601423709053944
S3,Final,temperature,0.42420037713175773,0.42991915262712643,0.06315653121450512,6.807200211280558
S3,Midterm 1,heart_rate,84.69128928415071,8.968671239405039,0.145319520146715,61.71690651297391
S3,Midterm 1,eda,0.12934211124195702,0.1587983138615962,0.0434287248466949,3.6565272045670345
S3,Midterm 1,temperature,0.0006064583834812273,0.0017545510702269406,0.0014198914871241738,1.2356937738816796
S3,Midterm 2,heart_rate,123.67604016770747,15.281049717571483,0.7730979976233249,19.76599314000143
S3,Midterm 2,eda,0.03769282504234934,0.03303218460642993,0.010090893781045803,3.2734647022522254
S3,Midterm 2,temperature,0.2604533698072883,0.07559123148173412,0.02423289062507135,3.119365025463674
S4,Final,heart_rate,72.25447181413591,7.402077459692946,0.12801689627780483,57.821097643470175
S4,Final,eda,0.08553650698279024,0.3214357131433099,0.06308121441269582,5.09558536778292
S4,Final,temperature,0.6841785622049477,0.3673361567995649,0.06645387305421406,5.527686196708002
S4,Midterm 1,heart_rate,91.095432159555,4.433669240445473,0.04428083674042392,100.12613958574957
S4,Midterm 1,eda,0.13586649672687887,0.09561503975028016,0.03474936010822154,2.7515626029515885
S4,Midterm 1,temperature,0.0006215099312100805,0.0015937730662246921,0.001374273000397602,1.1597208602392572
S4,Midterm 2,heart_rate,53.1556176435033,4.573292731916143,0.0921815790663645,49.6117855458267
S4,Midterm 2,eda,0.4346802277497345,0.4179079123489906,0.1046369413629545,3.9938850171412414
S4,Midterm 2,temperature,1.3472976484478294,0.9859805923956142,0.20397559643759175,4.833816444788699
S5,Final,heart_rate,63.10401394048716,6.645570410375642,0.4553966693132847,14.592927129653425
S5,Final,eda,0.08518919141984224,0.09021050592047972,0.02445602962550881,3.6886815767668946
S5,Final,temperature,0.4022439422246,0.3099609534525558,0.04930470572745746,6.28664036990572
S5,Midterm 1,heart_rate,145.79104920880252,9.23864111010392,0.10216792083698305,90.42604600758098
S5,Midterm 1,eda,0.027444632623210334,0.03092519678440549,0.01951283200277859,1.5848646049943853
S5,Midterm 1,temperature,0.0006530204087571456,0.0015917547516234028,0.0013048910003370373,1.2198373283379778
S5,Midterm 2,heart_rate,112.9082106476067,18.83900445047745,0.9121635429484799,20.653099541319314
S5,Midterm 2,eda,0.024850325831600496,0.01582061255321618,0.004514976726643957,3.5040297018265814
S5,Midterm 2,temperature,1.4409509136862024,0.25065124471614786,0.02795917756672695,8.964900491723958
S6,Final,heart_rate,153.92975805334135,23.340449103347645,1.4282243196937863,16.34228515892509
S6,Final,eda,0.018951527791559227,0.03868053385485163,0.015531313879715734,2.490486906286102
S6,Final,temperature,0.6333097016686015,0.7115077362671884,0.0662966237231718,10.732186592761652
S6,Midterm 1,heart_rate,98.1359561798364,6.201822060974036,0.08063129639790183,76.91581728227575
S6,Midterm 1,eda,0.138795396682125,0.17243640922847492,0.051037028488335245,3.3786529963805805
S6,Midterm 1,temperature,0.0006970276900883519,0.001592044925461438,0.0014447520530130311,1.1019502773096792
S6,Midterm 2,heart_rate,138.73458176727632,22.94042606055219,0.9575183813243037,23.958209584263276
S6,Midterm 2,eda,0.10382790109519499,0.2168419429519889,0.027567353747678977,7.865896195068989
S6,Midterm 2,temperature,0.8526155956138946,0.264895065852032,0.06918562875825653,3.8287585240803312
S7,Final,heart_rate,98.94698310044996,21.419851766323557,1.4840587137718848,14.433291329749915
S7,Final,eda,0.06309863478727853,0.06417001763245088,0.01982648148007208,3.236581220775316
S7,Final,temperature,0.39375017678404833,0.36228578697860786,0.05435501885824834,6.665176364364949
S7,Midterm 1,heart_rate,88.19284412259277,6.075788401529684,0.06816961990219732,89.12750885580107
S7,Midterm 1,eda,0.0174072245860916,0.02381109652171612,0.009685868080256732,2.458333762592912
S7,Midterm 1,temperature,0.0007521088643416474,0.001672810337145123,0.0013337722316069211,1.2541949048749732
S7,Midterm 2,heart_rate,132.22744273823704,16.35218609640316,0.7180595986194523,22.772742162129738
S7,Midterm 2,eda,0.07645291125658055,0.0821858798579144,0.020329675585443557,4.042655747874358
S7,Midterm 2,temperature,0.4725290539690322,0.5428721300403107,0.13370095787612934,4.060345854389976
S8,Final,heart_rate,127.8966753662153,22.12027213146061,0.8918415067141819,24.80291841647793
S8,Final,eda,0.13079611802172517,0.1822899371546139,0.057276896008389144,3.1826085185886215
S8,Final,temperature,0.8281146974640872,0.6303206204972751,0.060364301585072236,10.441943399427153
S8,Midterm 1,heart_rate,59.67928516775808,3.8632522720109925,0.04115468670281799,93.87150241011223
S8,Midterm 1,eda,0.14521127734100298,0.2381575893495376,0.11170713781872321,2.1319818410889413
S8,Midterm 1,temperature,0.0005528397378856579,0.001790853614465445,0.001580255279346869,1.1332685534236073
S8,Midterm 2,heart_rate,125.19999228820777,9.113979142426098,0.4163309469375968,21.891188270931437
S8,Midterm 2,eda,0.19642328318047825,0.13420732874425256,0.06197987784360203,2.165337096709143
S8,Midterm 2,temperature,1.4991495937573984,0.8276677236685678,0.1496745341628295,5.529783194569064
S9,Final,heart_rate,57.5839636998537,5.251864439152246,0.1703865861808611,30.82322709123078
S9,Final,eda,0.07247458089819853,0.12583837802543207,0.07227393946157473,1.7411307445380848
S9,Final,temperature,0.45817812828727783,0.25805882402768365,0.056592324920599645,4.559961521102839
S9,Midterm 1,heart_rate,107.6492202189325,7.743444957371445,0.10257955738866811,75.48721357835433
S9,Midterm 1,eda,0.006683089692808172,0.011230013573055584,0.008852142517550147,1.2686209638842914
S9,Midterm 1,temperature,0.0006452625194494363,0.001562026575717785,0.0013284793895045669,1.1758003835500344
S9,Midterm 2,heart_rate,139.97870413943744,18.106781189875313,1.2164852742390466,14.884505035378853
S9,Midterm 2,eda,0.050550390505474316,0.043377646093547655,0.009456789962586502,4.586931322907752
S9,Midterm 2,temperature,0.670809990195915,0.14443195485888233,0.04230489878542349,3.4140716324949008
